Type,Name,Date Added,Modified History,Description,,,Keywords Tvesha Desai's Additions ,Sources,Deletations ,Jermin deletions ,Hirans deletions,Jessica Deletions,Jessica Additions,Jessica-Source
Theme,GENERAL_HEALTH,13/10/13,13/10/13,"Any general discussion of human, animal, plant, etc health, from hygiene to hospitals, doctors to disease",,,"hand hygiene, clean healthcare faciliies, patient experience, C. difficile infection, contagious diseases, viral infections",https://www.cdc.gov/handhygiene/index.html,,,patient experience,None,,
Theme,GENTRIFICATION,19/05/14,19/05/14,Gentrification,,,"unfair housing policies, long-neglected areas, poor communities, communities of color, working-class communities",https://education.nationalgeographic.org/resource/gentrification,,,suburbs,None,,
Theme,GOV_DISSOLVEGOV,01/10/14,01/10/14,Dissolving government,,,"single government entity, one municipal entity, unicameral legislature, democracy, authoritarian presidential",https://search.usa.gov/search?affiliate=usagov&query=Dissolving+government&_gl=1*1om0xeq*_ga*MTkzMzM2NTI1LjE2NjcwNzE3NzI.*_ga_GXFTMLX26S*MTY2NzA3MTc3Mi4xLjAuMTY2NzA3MTc3NC4wLjAuMA..,,,none,None,,
Theme,GOV_DIVISIONOFPOWER,01/10/14,01/10/14,Division of power in government,,,"Legislative, judicial, executive, pentagon, president, supreme court's, congress, first amendment",https://www.uscourts.gov/educational-resources/educational-activities/separation-powers-action-us-v-alvarez,,,system of checks and balances,None,,
Theme,GOV_INTERGOVERNMENTAL,01/10/14,01/10/14,Intergovernmental activities or proposals,,,"local governments, federal regulatory agencies, FCC programs, operation of international activities, intergovernmental advisory committee",https://www.fcc.gov/consumer-and-governmental-affairs/office-intergovernmental-affairs,,,none,None,,
Theme,GOV_REFORM,01/10/14,01/10/14,Government reform,,,"federal reforms, revolutionary laws, policies builders, political changes","https://revenuedata.doi.gov/how-revenue-works/federal-reforms/#:~:text=The%20federal%20government%20reforms%20laws,implementation%20rules%20for%20the%20legislation.",,,"expanders, dismanlters, public concerns",None,,
Theme,GOV_REPATRIATION,01/10/14,01/10/14,Repatriation,,,"domestic repatriation plans, repatriation operations, mexican repatriation, voluntary repatriations",https://www.gao.gov/products/gao-22-105685,,,none,None,,
Theme,GRIEVANCES,20/02/14,20/02/14,"Mention of the term ""grievances"" as explicit discussion of societal unhappiness.",,,"grievances against physicians, voices unheard, dissatisfaction to health plans, death, sicknesses, inequitable treatment",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2690133/,,,persistent problems,None,,
Theme,HARASSMENT,20/12/13,20/12/13,"Explicit mention of the word ""harassment""",,,"pregnancy harasser, unlawful harassment, Title VII of the Civil Rights Act of 1964, Age Discrimination in Employment Act of 1967, Americans with Disabilities Act of 1990, harassment in the workplace, behaviors of offensive nature",https://www.eeoc.gov/harassment,,,(ADA),None,,
Theme,HATE_SPEECH,20/12/13,20/12/13,"Explicit mention of the phrase ""hate speech""",,,"distasteful discussions, offensive speech, hateful speech, incite intentionally, sexual identity, gender identity, ethnicity, disability, national origin",https://www.ala.org/advocacy/intfreedom/hate,,,"threats, vilify, humiliate,  religion, skin color ",None,,
Theme,HEALTH_PANDEMIC,13/10/13,13/10/13,Explicit mention in the text of a pandemic or public health emergency,,,"disease outbreak, Coronavirus, COVID-19, flu outbreak, contagious virus, wearing a mask, novel virus, health insurance policies, Centers for Disease Control and Prevention (CDC), disinfect high- touch objects",https://www.ready.gov/pandemic,,,"diseases spread,",None,,
Theme,HEALTH_SEXTRANSDISEASE,13/10/13,13/10/13,Mention of sexually transmitted diseases,,,"STI screening, HIV risk assessment, STI infection prevention counseling, HIV infection prevention counseling, Pelvic Inflammatory disease diagnosis, congenital syphilis diagnosis, curbing syphilis outbreak, drug-resistant gonorrhea",https://www.cdc.gov/std/default.htm,,,none,None,,
Theme,HEALTH_VACCINATION,13/10/13,13/10/13,"Mentions of vaccination, immunization",,,"hepatitis B, diphtheria, tetanus, & acellular pertussis, rotavirus, haemophilus influenzae type b, pneumococcal conjugate, inactivated poliovirus, influenza, measles, mumps, rubella, varicella, hepatitis A, pneumococcal polysaccharide, dengue",https://www.cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,,,none,None,,
Theme,HUMAN_TRAFFICKING,13/10/13,13/10/13,"Human trafficking, sexual slavery, prostitution, human smuggling, etc",,,"forced labor, commercial sex act, traffickers violence, false promises of well-paying jobs, women trafficking, children trafficking, human perpetrator",https://www.dhs.gov/blue-campaign/what-human-trafficking,,,none,None,,
Theme,IDEOLOGY,22/05/14,22/05/14,Self-identified discussion of ideology,,,"theorists, political ideology, non-ideological political beliefs, political reasoning, liberalism, conservatism, socialism, communism, theocracy, agrarianism, totalitarianism, democracy, colonialism,  globalism",https://home.uchicago.edu/~jlmartin/Papers/What%20is%20Ideology.pdf,,,none,None,,
Theme,IMMIGRATION,13/10/13,13/10/13,Discussion of immigration,,,"violation of immigration laws, deportation, citizenship, green cards, permanent residence, Immigration and Customs Enforcement, Diversity Immigrant Visa Program, 
",https://www.usa.gov/immigration-and-citizenship,,,none,None,,
Theme,IMPEACHMENT,13/10/13,13/10/13,Impeachment,,,"constitutional authority, grounds for impeachment, the senate's impeachment role, judicial impeachments, cabinet members, presidential impeachment, removal of the President, treason",https://www.senate.gov/reference/Index/Impeachment.htm,,,none,None,,
Theme,INFO_HOAX,01/10/14,01/10/14,Discussion of hoaxes,,,"broadcast of hoaxes, publicized false reports, fake news, social media propaganda, substantial public harm as a result of hoaxes ",https://www.fcc.gov/reports-research/guides/hoaxes,,,none,None,,
Theme,INFO_RUMOR,01/10/14,01/10/14,Discussion of rumors,,,"misinformation news, disinformation, malinformation of reports, rumor control page start-Up guide, Cybersecurity and Infrastructure Security Agency’s (CISA)",https://www.cisa.gov/rumorcontrol,,,,None,,
Theme,INFRASTRUCTURE_BAD_ROADS,20/02/14,20/02/14,"Mentions of potholes, impassable roads, blocked roads, etc.",,,"infrastructure plan, aging bridges, old airports, dams in mediocre condition, aging levees, aging water systems, quadrennial infrastructure report card, extra car repairs, infrastructure bill, increased fuel consumption, increased traffic jam, failing infrastructure",https://www.npr.org/2021/03/03/973054080/potholes-grid-failures-aging-tunnels-and-bridges-nations-infrastructure-gets-a-c,,,,None,,
Theme,INSURGENCY,15/05/14,15/05/14,Self-identified discussion of insurgency,,,"Counterinsurgency, COIN, displacement of people, political factions, labour movements, guerilla bases, guerilla operations, insurgent terror attacks",https://www.nato.int/nato_static_fl2014/assets/pdf/pdf_2017_09/20170904_1709-counterinsurgency-rc.pdf,,,,COIN,,
Theme,INTERNET_BLACKOUT,13/10/13,13/10/13,Mentions of internet blackouts,,,"Syrian IP space, Syrian telecommunications, router configurations, cable cut, NSA, National Secuity Agency",https://www.theguardian.com/world/2014/aug/13/snowden-nsa-syria-internet-outage-civil-war,,,,None,,
Theme,INTERNET_CENSORSHIP,13/10/13,13/10/13,"Internet censorship such as blocking websites, etc",,,"blocking social media sites, Zain, MTN, Sudani, Netblocks, digital rights NGO, internet censorship regime, authoratarian governments",https://www.reuters.com/article/us-sudan-protests-internet/sudan-restricts-social-media-access-to-counter-protest-movement-idUSKCN1OW0Z7,,,,None,,
Theme,JIHAD,13/10/13,13/10/13,"Actual mentions of ""jihad"" and ""holy war""",,,"Islamic Jihad, Palestinian militant group, Hamas, Israeli military, Sunni group, Al Qaeda, Gaza border",https://www.reuters.com/article/uk-palestinians-islamicjihad/single-minded-islamic-jihad-grows-in-gazas-shadows-idUKBRE9AB08E20131112,,,,None,,
Count,KIDNAP,13/10/13,13/10/13,"Someone being kidnapped, abducted, hostages, etc",,,"Boko Haram, North eastern Nigeria, Chibok girls, attack on schools, UNICEF Safe School Declaration, bride-kidnapping, NGO Women Support Center, End Violence Against Women Campaign in Kyrgyzstan","https://www.unicef.org/wca/press-releases/more-1000-children-northeastern-nigeria-abducted-boko-haram-2013, https://www.un.org/youthenvoy/2013/09/new-law-in-kyrgyzstan-toughens-penalties-for-bride-kidnapping/",,,,None,,
Count,KILL,13/10/13,13/10/13,Any mention of something dying,,,"crime-related homicide, Interpersonal homicide, organized crime kills, gender-related killing of women and girls, homicide statistics, lethal violence against women, non-lethal violence against women, femicide, intimate partner killing, homicide victims, violent masculinity, The Global Study on Homicide 2013, Verkko's laws, the static law, Dowry-related killings, ",https://www.unodc.org/documents/data-and-analysis/gsh/Booklet_5.pdf,,,,None,,
Theme,LANDMINE,13/10/13,13/10/13,"Landmines, IEDs, antipersonnel mines, etc",,,"UN Article 7 Database, Humanitarian Mine Action, Mine Detection dogs, Mine Ban Convention, Stockpiling of Interpersonal Mines, Landmine and Cluster Munition Monitor, CHA, Confirmed Hazardous Area, Cluster Munition Coalition, CMC, Antivehicle Mine, Mine Ban Treaty, Land Release, Suspected Hazardous Area, SHA","https://www.un.org/disarmament/anti-personnel-landmines-convention/,     http://www.the-monitor.org/media/3318354/Landmine-Monitor-2021-Web.pdf",,,,"CMC, SHA",,
Theme,LEADER,13/10/13,13/10/13,"Political elites, such as lawmakers, presidents, supreme leaders, etc",,,"Legislative headlines, State Capitols, State Legislatures, NCSL, National Conference of State Legislatures, threats against lawmakers, Senate debate, Democrats, Republicans, conservative lawmakers, longest-tenured lawmakers, opposition coalition",https://www.ncsl.org/bookstore/state-legislatures-magazine.aspx,,,,None,,
Theme,LEGALIZE,13/10/13,13/10/13,"Something being legalized, laws being repealed, etc",,,"Abortion Ban, Abortion Laws by State, Federal legalization of Marijuana, recreational use of cannabis, repeal voter initiatives, Decriminalization Enactments 2020, Cannabis Record Clearing", https://www.ncsl.org/research/civil-and-criminal-justice/marijuana-overview.aspx,,,,None,,
Theme,LEGISLATION,13/10/13,13/10/13,Discussion of laws,,,"Bill drafting, Executive Budget, Committee Action, Floor Ammendments, Passing a Bill, Federal Trade Commission, FTC, Bankruptcy/Insolvency/Restructuring Legal News, Biotech Food and Drug Law, FDA, Food and Drug Administration, USDA, US Department of Agriculture, Environmental Protection Agency, EPA, National Pollution Discharge Elimination System, NPDES, Clean Air and Water Acts, Toxic Substances and Control Act","https://www.nysenate.gov/how-bill-becomes-law-1 , https://www.natlawreview.com/practice-groups/Environment-Energy-EPA",,,,None,,
Theme,LGBT,04/11/13,04/11/13,"Lesbian, Gay, Bisexual, and Transgender discussion",,,"LGBTQ youth, Experiences of Bullying and Harassment, Anti-LGBTQ Bullying and Harassment, Location and Mode of Sexual Harassment, Online Civic Participation among LGBTQ and NON-LGBTQ youth, Text-based Civic Participation, Online/ Text-based Victimization, Outness by Gender, Outness by Race/Ethnicity, LGBTQ Demographics",glsen.org/sites/default/files/2020-01/Out_Online_Full_Report_2013.pdf,,,,None,,
Theme,LITERACY,13/10/13,13/10/13,Discussion of literacy and illiteracy,,,"Sustainable Development Goal for Education, SDG 4, UNESCO Institute for Statistics, UIS, non-tertiary education, functional literacy, early childhood education, post-secondary education",https://uis.unesco.org/en/news/uis-releases-more-timely-country-level-data-sdg-4-education,,,,None,,
Theme,LOCUSTS,13/10/13,13/10/13,Mentions of locusts,,,"locusts breeding grounds. loss of livestock, loss of pastures, loss of vegetation, locusts plague, pesticides spraying, migrating locusts, desert locusts, Cyclone Gati, acute food insecurity and poverty, locust outbreak, locust swarm",https://www.bbc.com/news/topics/cezydj1nz4xt,,,,None,,
Theme,MANMADE_DISASTER,13/10/13,13/10/13,"Failure of manmade infrastructure such as car crashes, bridge collapses, derailments, plane crashes, etc",,," submerged suspension bridge, bridge deterioration, lack of bridge maintenance and inspection, Tsunami-resistant Bridges, Disaster management, Fukushima Nuclear disaster, release of radioactivity, Declaration of Nuclear emergency, Radiation exposure, Radiation survey map, special decontamination areas, Boeing 737 MAX crashes, FAA airplane certification, ","https://www.cnn.com/2022/10/22/business/boeing-737-max-crime-victims, https://world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx, https://www.sciencedirect.com/topics/engineering/bridge-failure",,,,None,,
Theme,MANMADE_DISASTER_IMPLIED,13/10/13,13/10/13,"Discussion of disasters in context with manmade structures, but where the relationship is not fully clear, but is implied",,,"Chernobyl Accident, nuclear criticality accident, overheated core material, reactor materials, Fukushima nuclear disaster, progressive heating, progressive meltdown, progressive oxidation of core, thyroid glands absorbing radiation, thyroid cancer due to release of radioactivty","https://www.nei.org/resources/fact-sheets/comparing-fukushima-and-chernobyl#:~:text=The%20accident%20at%20Fukushima%20occurred,released%20after%20the%20Fukushima%20accident.",,,,None,,
Theme,MARITIME,13/10/13,13/10/13,General discussion of the maritime environment,,,"Marine environment Protection Committee, MEPC, IMO, International Maritime Organization, vessel activity trends, The Nautical Institute, Polar shipping developments, GHG emissions from ships, maritime security",https://www.imo.org/en/MediaCentre/HotTopics/Pages/Default.aspx,,,,None,,
Theme,MARITIME_INCIDENT,13/10/13,13/10/13,"Sinking ships, capsizing, etc",,,"island of Lampedusa, African migrants fleeing war, African migrants fleeing poverty, criticism of European immigration policy, migrants from Middle East, Italian Coast guard boats, Terre des hommes, asylum seekers, asylum regulations, resettlement program for refugees, shipwreck survivors",https://www.nytimes.com/2013/10/04/world/europe/scores-die-in-shipwreck-off-sicily.html,,,,None,,
Theme,MARITIME_INCIDENT_IMPLIED,13/10/13,13/10/13,"Maritime emergencies like sinking ships, collisions at sea, etc",,,"Juiletta D. cargo ship, collision with Oil tanker, Sinking of the Byakko, coast guard rescue operations, oil Spill, Ignited Ship, explosion and release of gas, Iranian Oil Tanker The Sanchi, Chinese Freighter CF Crystal Collision, light crude OIl Spill",https://www.ndtv.com/topic/ship-collision,,,,None,,
Theme,MARITIME_INCIDENT_SELF_IDENTIFIED,20/02/14,20/02/14,Mentions of specific unambiguous martime accidents like grounding.,,,"blocking traffic, fuel leakage, block the navigation channel, disrupt maritime traffic, Evergreen Container ship, hull breach, water pollution",https://www.reuters.com/world/us/cargo-ship-runs-aground-us-year-after-companys-other-ship-blocked-suez-2022-03-15/,,,,None,,
Theme,MARITIME_PIRACY,01/10/14,01/10/14,Maritime piracy,,,"illegal maritime operations, human trafficking, arms trafficking, Territorial Waters, contraband weapons, contraband ammunition, StandOff Attacks,Direct/Blast Attacks",https://dg.dryadglobal.com/what-is-maritime-piracy#Terrorism,,,,None,,
Theme,MEDIA_CENSORSHIP,13/10/13,13/10/13,"Censorship of the mainstream media, such as arresting journalists, press freedoms, etc",,,"accused of espionage, women journalists at risk, freedom of the press, Plan of Action on the Safety of Journalists, expose atrocities, increased policitization",https://news.un.org/en/story/2022/05/1117362,,,,None,,
Theme,MEDIA_MSM,13/10/13,13/10/13,"Any mention of mainstream media such as television, reporter, journalist, etc. Often flags just a mention of a ""reporter"", but can be used to capture discussion of MSM overall",,,"fabricating news, stage managing, image making, political allies through philanthropy, competing propoganda of conflicting interests, corporate propogandists, Pulitzer Journalism",https://hbr.org/1995/05/why-the-news-is-not-the-truth,,,,None,,
Theme,MEDIA_SOCIAL,13/10/13,13/10/13,"Any mention of social media such as Facebook, Twitter, etc. Often flags mentions of ""follow me on twitter"", but useful proxy for discussion of social media",,,"Web2 Social Media, Web3 Social Media, Social Media Influencers, decentralized social media, new forms of monetization, covert influence campaigns, Social media analytics",https://cointelegraph.com/news/facebook-and-twitter-will-soon-be-obsolete-thanks-to-blockchain-technology,,,,None,,
Theme,MEDICAL,13/10/13,13/10/13,"More narrowly focused on healthcare like nurses, health services, addiction treatment, etc",,,"medication error, Nursing license, CDC, Center for Disease Control and Prevention, improving emergency medical care, medication error, mental disorders, self-help strategies, psychotherapy, rehabilitation programs",https://khn.org/news/tag/nurses/,,,,CDC,,
Theme,MEDICAL_SECURITY,20/02/14,20/02/14,"Access to doctors, healthcare, poor medical access, etc.",,,"Universal Health coverage, immunization, family planning, antiretroviral treatment for HIV, insecticide-treated bed nets, vaccines for Monkeypox, increase funding for STI, STI prevention, Sexually Transmitted Infections, ACT-Accelerators, sustainable oxygen acess in LMIC's, Doctors wihout Borders",https://www.who.int/news/item/13-12-2017-world-bank-and-who-half-the-world-lacks-access-to-essential-health-services-100-million-still-pushed-into-extreme-poverty-because-of-health-expenses,,,,None,,
Theme,MIL_SELF_IDENTIFIED_ARMS_DEAL,13/10/13,04/11/13,"Only actual mentions of ""arms deal"", ""weapons sale"", etc - doesn't determine that a sale of AK47's is an arms sale, requires the text to explicitly label it as such",,,"Turkish Bayraktar TB2 drones, drones against Ukraine cities, Shahed-136sUAVs, Taiwan's coastal defense, Taiwan's Air Defense, AIM-9x Missiles, ","https://www.cnn.com/2022/09/02/politics/us-taiwan-arms-sales, https://news.yahoo.com/russias-iranian-arms-deals-ukraine-095211312.html",,,,None,,
Theme,MIL_WEAPONS_PROLIFERATION,04/11/13,04/11/13,Weapons proliferation,,,"Weapons of Mass Destruction, WMD, detect proliferation, prohibit proliferation, counter terrorist financing, weapon proliferation financing, interconnection with terrorism","https://www.coe.int/en/web/moneyval/implementation/financing-proliferation#:~:text=The%20FATF%20defines%20proliferation%20of,international%20attention%20for%20several%20years.",,,,None,,
Theme,MILITARY,13/10/13,13/10/13,General discussion of the military,,,"UN Police, civilian colleagues, UN Peacekeeping operations, United Nations Office of Military Affairs, Blue Helmets, Women Peacekeepers",https://peacekeeping.un.org/en/military,,,,None,,
Theme,MILITARY_COOPERATION,13/10/13,13/10/13,"Actual mentions of military ties, military aid, defense cooperation, etc (where the text explicitly labels it as such)",,,"finance weapons for Ukraine, US weapons stocks, Presidential Drawdown Authority, PDA, anti-aircraft NASAMS systems, aid package for Ukraine defense, missiles/radar support to Taiwan, economic pressure in Taiwan, air-to-air fire power, grey zone coercion","https://www.reuters.com/world/europe/us-send-munitions-humvees-ukraine-725-mln-aid-package-officials-2022-10-14/,   https://www.france24.com/en/asia-pacific/20220903-us-approves-1-1-billion-arms-package-for-taiwan-angering-china",,,,PDA,,
Theme,MOVEMENT_ENVIRONMENTAL,04/11/13,04/11/13,Environmental movements,,,"Earth Day, Environmental Activism, potential for greenwashing, Zero Hour, green political movements, Chipko movement, Sierra Club, self-sufficient farms, green consumerism, grassroots democracy","https://www.bbc.com/future/article/20200420-earth-day-2020-how-an-environmental-movement-was-born, https://www.britannica.com/topic/environmentalism/History-of-the-environmental-movement",,,,None,,
Theme,MOVEMENT_GENERAL,04/11/13,04/11/13,"General discussion of movements, activists, etc",,,"Greta Thunberg, Environmental Activist, COP 26 Summit, climate activism, climate change mitigation, climate campaigner",https://www.bbc.com/news/world-europe-49918719,,,,None,,
Theme,MOVEMENT_OTHER,04/11/13,04/11/13,"Catchall for movements such as equality movements, religious movements, youth movements, labor movements, etc",,,"Civil Rights Movement, Black rights, white supremacy, African American civil rights, Secularism in Nigeria, Christian-Muslim Conflict, Christian Association of Nigeria, CAN, Organization of Islamic Conference, OIC","https://www.britannica.com/event/American-civil-rights-movement,   https://rpl.hds.harvard.edu/religion-context/country-profiles/nigeria/emerging-religious-movements",,,,"CAN, OIC",,
Theme,MOVEMENT_SOCIAL,04/11/13,04/11/13,General discussion of social-related movements,,,"Black Lives Matter, Anti-Black Violence, police killings, unarmed Black Men, police brutality, political polarization, minority neighbourhoods ",https://www.britannica.com/topic/Black-Lives-Matter/Subsequent-protests-George-Floyd-Ahmaud-Arbery-and-Breonna-Taylor,,,,None,,
Theme,MOVEMENT_WOMENS,04/11/13,04/11/13,Women-specific movements,,,"MeToo movement, Second-Wave Feminism, individualist feminism, social feminism, 1960s text on The Feminine Mystique, women empowerment, gendered oppression, Equal Rights Amendment, ERA, Equal Employment Opportunity Commission, women's suffrage, defending abortion rights, Woman' s Peace Party, WPP, All India Women's Conference, AIWC","https://www.theguardian.com/news/2018/may/11/how-metoo-revealed-the-central-rift-within-feminism-social-individualist, https://www.britannica.com/biography/Perle-Mesta",,,,WPP,,
Theme,NATURAL_DISASTER,13/10/13,13/10/13,"From floods to coldsnaps, wildfires to tornadoes",,,"Hurricane Ida, natural catastrophe insurance, severe inland flooding, Hurrican Ian, Landfalls, western wildfire season, depleted natural reservoirs, Heat Wave, Wildfire risk, North Central Hail Storms, Tropical Storm Elsa, Sumatra Earthquake, Tsunami of 2004, extreme precipitaion and flooding","https://www.ncei.noaa.gov/access/billions/events, https://ourworldindata.org/natural-disasters",,,,None,,
Theme,NEGOTIATIONS,13/10/13,13/10/13,"Discussion of bargaining, negotations, etc.",,,"Iran Nuclear Deal, economic sanctions, Vanovia's acquisiiton of Deustche Wohnen, successful WTO services negotiation, Joint Statement Initiative on Services Domestic Regulations, DRJSI, Ukraine's interest in NATO membership, sovereignty of Taiwan, North-South Korea Peace Treaty, German Government Negotiations",https://www.forbes.com/sites/jacknasher/2021/12/27/top-10-world-changing-negotiations-for-2022/?sh=e2965747c581,,,,None,,
Theme,NEW_CONSTRUCTION,13/10/13,13/10/13,"Mentions of new construction, new roads, etc",,,"Peruvian Tunnel, 3-D road modeling, Sweco Nederland, Simex PL 2000, widest asphalt cold planer, Chinese Expressway Expansion Project, Vietnam North-South Expressway Project",https://www.worldhighways.com/news,,,,None,,
Theme,ORGANIZED_CRIME,13/10/13,13/10/13,"Discussion of gangs, mafia, organized crime, etc",,,"money laundering, Europe's Narco-Bank, structured financial network, Mexican Drug Cartels, Drug Trafficking, organized crime syndicates, Ndrangheta in Italy, Gambino Mafia","https://apnews.com/article/business-crime-police-reform-ca9c0b8b0d2234a63811bc4749b145cc, https://www.justice.gov/usao-edny/pr/24-defendants-ties-powerful-italian-organized-crime-syndicate-known-ndrangheta-arrested",,,,None,,
Theme,PEACEKEEPING,13/10/13,13/10/13,"Mentions of peacekeepers, UN forces, etc",,,"MINUSMA, Mutlidimensional Integrated Stabilization Mission, MINUSMA in Mali, MINUSMA in Central African Republic, MINUSMA in Western Sahara, police contributors, Military contributors, Security Council resolution 2100, Security Council Resolution 2164,rebuiliding of security sector, human rights protection, reestablishment of State Authority, supporting National Political dialogue, stabilization and protection of civilians",https://peacekeeping.un.org/en/mission/minusma,,,,None,,
Theme,PERSECUTION,04/11/13,04/11/13,"Actual mentions of ""persecution""",,,"Open Doors, non-denomination group supporting persecuted Christians, increasing violence against Christians, radical Muslims, Islamist extremism, practicing Christian faith, Christian persecution, violence against Christians",https://www.reuters.com/article/us-christianity-persecution-report/reported-christian-martyr-deaths-double-in-2013-report-idUSBREA070PB20140108,,,,None,,
Theme,PHONE_OUTAGE,20/02/14,20/02/14,Interruption of phone service.,,,"Nature-related events,Faulty installation,Network congestion,Outdated technology,Termination of phone service",https://www.fcc.gov/consumers/guides/when-your-telephone-company-discontinues-service,,,none,None,,
Theme,PIPELINE_INCIDENT,20/02/14,20/02/14,Pipeline explosion or damage.,,,"Pipeline Explosion,Hazardous Materials,",https://www.tedlyon.com/pipeline-explosion-injuries/what-damages-are-available-in-a-pipeline-explosion-lawsuit-in-texas/,,,Structural Damage,None,,
Theme,PIRACY,13/10/13,13/10/13,"Piracy, hijacking, etc (but not software/music/etc piracy)",,,"Acts of Violence, Any act of Depredation,Skyjacking",https://core.ac.uk/download/pdf/234650079.pdf,,,"Detention, Corruption,Violence,Politics",None,,
Theme,POL_HOSTVISIT,01/10/14,01/10/14,Hosting a visit,,,,,Deleted,,,None,,
Theme,POLITICAL_PRISONER,13/10/13,13/10/13,Explicit mention of political prisoners or labor camps,,,"Social Archeaology,Structural Violence",https://www.britannica.com/topic/political-prisoner,,,"Communists,Historical Discourse,Socialists,Authorities",None,,
Theme,POLITICAL_TURMOIL,13/10/13,13/10/13,"Discussion of major unrest such as martial law, political ""crisis"", state of emergency, violent supression, etc.",,,Travel Ban,https://www.ojp.gov/ncjrs/virtual-library/abstracts/gang-suppression-and-intervention-problem-and-response-research,,,"Probation,Parole,Corrections,Community,Organizations, Closures,Executive Orders",None,,
Theme,POPULATION_DENSITY,17/05/14,17/05/14,Population density,,,"Labour Force,Densely Populated",https://ourworldindata.org/grapher/population-density,,,"Geographic Areas,Global Population,Variation,Commercial Importance, Growth Rate",None,,
Theme,POVERTY,13/10/13,13/10/13,"Poverty, homeless, destitute",,,"Welfare Struggle,Affordable Health Care,Social Services ",https://brownpoliticalreview.org/2021/12/being-poor-alone-does-not-make-people-homeless-being-poor-where-housing-is-unaffordable-makes-people-homeless/,,,"Social Issues,Rehabilitative",None,,
Theme,POWER_OUTAGE,25/10/13,25/10/13,"Mentions of power failures - these are also captured under MANMADE_DISASTER, but are broken out here so that they can be specifically selected",,,"Nature-related events,Faulty installation",https://www.fcc.gov/consumers/guides/when-your-telephone-company-discontinues-service,,,",Network congestion,Outdated technology,Termination of service",None,,
Theme,PRIVATIZATION,20/02/14,20/02/14,Mention of privatization or deregulation.,,,"the privatization process,  deregulation movement, short of privatization, privatization in market economies, spread of privatization trend",https://hbr.org/1991/11/does-privatization-serve-the-public-interest,,,none,None,,
Theme,PROPAGANDA,13/10/13,13/10/13,"Explicit mention of ""propaganda""",,,"Despotism, Missionary Activities,Fascism,Communism,",https://www.historians.org/about-aha-and-membership/aha-history-and-archives/gi-roundtable-series/pamphlets/em-2-what-is-propaganda-(1944)/the-story-of-propaganda,,,"Democratic,Governments,Public Relations, Attitudes,Opinions",None,,
Theme,PROPERTY_RIGHTS,13/10/13,13/10/13,"Discussion of property rights, land tenure, eminent domain, land confiscation",,,Lack of Economic Opportunity,https://www.usaid.gov/land-tenure,,,"Community Stability,Poor Governance, Private Sector,Civil Society,Agricultural Productivity,",None,,
Count,PROTEST,13/10/13,13/10/13,"Discussion of protesting, demonstrating, rioting, striking, activists, agitators, etc",,,"Racial Inequalities,Violent Attacks,Civil Rights Protestors",https://www.jstor.org/stable/10.3366/j.ctv7n0b0b,,,"Demonstrators,Discriminatory",None,,
Theme,PUBLIC_TRANSPORT,13/10/13,13/10/13,Public transportation from buses to subways,,,Produce Fewer Emissions,https://www.conserve-energy-future.com/benefits_of_public_transportation.php,,,"Economical, Traffic Congestion,Railway Networks,High Initial,Capital Investment ",None,,
Theme,RAIL_INCIDENT,20/02/14,20/02/14,"Train accidents, derailments, etc",,,,https://www.conserve-energy-future.com/benefits_of_public_transportation.php,,,,None,"signal failure, infrastructure safety, infrastructure upgrade, rail-crossing, derailment","https://www.reuters.com/world/india/indian-train-crash-death-toll-jumps-233-900-injured-2023-06-03/,https://injuryfacts.nsc.org/home-and-community/safety-topics/railroad-deaths-and-injuries/"
Theme,RAPE,13/10/13,13/10/13,"Rape, sexual slavery, sex crime, etc",,,,,Repeated,,"Human Rights,Justice System,Crimes against Humanity,Violence",None,,
Theme,RATIFY,13/10/13,13/10/13,"Mention of something actually being adopted, signed into law, ratified, etc",,,"Legal Obligation,Legislative Requirements,Constitutional procedures",https://www.unicef.org/child-rights-convention/how-convention-works,,,"accession,Decision,Signed,Authority, Convention, Protocol",None,,
Theme,REBELLION,13/10/13,13/10/13,"Mutinies, uprisings, civil war, etc",,,,http://www.civilwar.com/,,,"Differences,Discredit Democracy,Legitimacy,Precedents,Freedom",None,"open resistance, oppose authority, disobedience, political revolution","https://en.wikipedia.org/wiki/Rebellion, https://www.merriam-webster.com/dictionary/rebellion"
Theme,REBELS,14/05/14,14/05/14,Self-identified discussion of rebels,,,"Insurgents,Terrorists,Warlords",https://www.tandfonline.com/doi/full/10.1080/09592318.2017.1322337,,,"Democratic,Communal Interest,Decision-making,militias",None,,
Theme,RECRUITMENT,11/05/14,11/05/14,Recruitment,,,,Deleted,Deleted,,,None,,
Count,REFUGEES,13/10/13,13/10/13,"Refugees, displaced persons, forced migration, asylum seekers",,,,Deleted,Deleted,,,None,,
Theme,REL_ANTISEMITISM,01/10/14,01/10/14,Anti-semitism,,,"Religious Teachings,Inferiority of Jews",https://www.adl.org/antisemitism,,,",Prejudiced,Stereotyped",None,,
Theme,RELATIONS,13/10/13,13/10/13,"Narrow focus on ""improving relations"", ""restarting talks"", ""bilateral talks"", etc",,,,,Deleted,,,None,,
Theme,RELEASE_HOSTAGE,13/10/13,13/10/13,A hostage being released,,,,,Deleted,,,None,,
